id,question,solution_a,total_runtime_a,avg_memory_a,solution_b,total_runtime_b,avg_memory_b,solution_c,total_runtime_c,avg_memory_c,order
11,"
def sum_segment_products(numbers: list) -> int:
""""""
Given a list of integers, the list is logically split into segments by the number 0.
For each contiguous segment of non-zero numbers, calculate the product of its elements.
Return the sum of these products.

Empty segments (caused by consecutive zeros or boundary zeros) should be ignored.
If the list is empty or contains only zeros, return 0.

Examples:
sum_segment_products([1, 2, 0, 3, 4]) == 14 # (1*2) + (3*4) = 2 + 12 = 14
sum_segment_products([0, 5, 1, 0, 2]) == 7 # (5*1) + 2 = 5 + 2 = 7
sum_segment_products([2, 3]) == 6 # 2*3 = 6
sum_segment_products([0, 0, 0]) == 0
""""""
","def sum_segment_products(numbers: list) -> int:
    if not numbers:
        return 0
    total = 0
    product = 1
    in_segment = False
    for n in numbers:
        if n != 0:
            product *= n
            in_segment = True
        else:
            if in_segment:
                total += product
                product = 1
                in_segment = False
    if in_segment:
        total += product
    return total",0.0004645,26.65800781,"def sum_segment_products(numbers: list) -> int:
    total = 0
    i = 0
    while i < len(numbers):
        if numbers[i] != 0:
            product = 1
            while i < len(numbers) and numbers[i] != 0:
                product *= numbers[i]
                i += 1
            total += product
        else:
            i += 1
    return total",0.0005162,26.65800781,"def sum_segment_products(numbers: list) -> int:
    from itertools import groupby
    total = 0
    for is_zero, grp in groupby(numbers, key=lambda x: x == 0):
        if not is_zero:
            prod = 1
            for v in grp:
                prod *= v
            total += prod
    return total",0.0004813,26.65800781,"['a', 'c', 'b']"
12,"
def conditional_step_sum(numbers, k):
""""""
Given a list of integers and a step size 'k', calculate the sum of elements that satisfy
two conditions:
1. The element is located at an index that is a multiple of 'k' (0-indexed).
2. The element itself is an even number.
Assume 'k' is a positive integer.

Examples:
conditional_step_sum([10, 15, 20, 25, 30], 2) == 60 # Indices 0, 2, 4 are checked. Elements 10, 20, 30 are all even.
conditional_step_sum([10, 15, 21, 25, 30], 2) == 40 # Indices 0, 2, 4 checked. 10 and 30 are even; 21 is odd.
conditional_step_sum([1, 2, 3, 4], 1) == 6 # All indices checked. Evens are 2 and 4.
conditional_step_sum([], 3) == 0
""""""
","def conditional_step_sum(numbers, k):
    return sum(numbers[i] for i in range(0, len(numbers), k) if numbers[i] % 2 == 0)",0.0005967,26.92363281,"def conditional_step_sum(numbers, k):
    total = 0
    idx = 0
    while idx < len(numbers):
        if numbers[idx] % 2 == 0:
            total += numbers[idx]
        idx += k
    return total",0.0005791,26.92363281,"def conditional_step_sum(numbers, k):
    from functools import reduce

    def step(acc, idx_val):
        i, v = idx_val
        if i % k == 0 and v % 2 == 0:
            return acc + v
        return acc

    return reduce(step, enumerate(numbers), 0)",0.0009527,26.92363281,"['b', 'a', 'c']"
13,"
def count_valid_rotations(strings: list[str], target: str) -> int:
""""""
You are given a list of strings and a target string.
Return the number of strings in the list that are valid rotations of the target.
A rotation involves moving any number of characters from the front of the string
to the back without changing the relative order of the remaining characters.

Examples:
count_valid_rotations([""bcda"", ""abdc"", ""dabc"", ""abcd""], ""abcd"") == 3
# Matches: ""bcda"", ""dabc"", ""abcd""

count_valid_rotations([""noon"", ""onno"", ""onon""], ""noon"") == 2
# Matches: ""noon"", ""onno"" (""onon"" is not a rotation)

count_valid_rotations([""a"", ""b"", ""c""], ""a"") == 1
count_valid_rotations([], ""test"") == 0
""""""
pass
","def count_valid_rotations(strings: list[str], target: str) -> int:
    if not target:
        return 0
    doubled = target + target
    return sum(1 for s in strings if len(s) == len(target) and s in doubled)",0.0005809,26.72363281,"def count_valid_rotations(strings: list[str], target: str) -> int:
    if not target:
        return strings.count("""")
    
    rotations = set()
    for i in range(len(target)):
        rotations.add(target[i:] + target[:i])
        
    count = 0
    for s in strings:
        if s in rotations:
            count += 1
    return count",0.0014551,26.72363281,"def count_valid_rotations(strings: list[str], target: str) -> int:
    n = len(target)
    if n == 0:
        return sum(1 for s in strings if s == """")
    count = 0
    for s in strings:
        if len(s) != n:
            continue
        for shift in range(n):
            if s == target[shift:] + target[:shift]:
                count += 1
                break
    return count",0.0011614,26.72363281,"['a', 'c', 'b']"
14,"
def cyclic_shift_by_index(words: list) -> list:
""""""
Given a list of strings, return a new list where each string at index `i`
is rotated to the left by `i` characters.

The rotation is cyclic, meaning characters shifted off the left end reappear
at the right end. If a string is shorter than its index `i`, use the modulo
of the length to determine the shift. Empty strings remain unchanged.

Examples:
cyclic_shift_by_index([""hello"", ""world""])
# Returns [""hello"", ""orldw""] (Index 0 shift 0, Index 1 shift 1)

cyclic_shift_by_index([""a"", ""bc"", ""def"", ""ghij""])
# Returns [""a"", ""cb"", ""fde"", ""jghi""]
# Logic: ""a"" (shift 0), ""bc"" (shift 1), ""def"" (shift 2), ""ghij"" (shift 3)

cyclic_shift_by_index([""algorithm"", ""data""])
# Returns [""algorithm"", ""atad""]
""""""
pass
","def cyclic_shift_by_index(words: list) -> list:
    result = []
    for i, word in enumerate(words):
        if not word:
            result.append(word)
        else:
            shift = i % len(word)
            result.append(word[shift:] + word[:shift])
    return result",0.0012089,26.59726563,"def cyclic_shift_by_index(words: list) -> list:
    rotated_list = []
    for i in range(len(words)):
        s = words[i]
        if not s:
            rotated_list.append(s)
        else:
            n = len(s)
            chars = [s[(i + j) % n] for j in range(n)]
            rotated_list.append("""".join(chars))
    return rotated_list",0.0008587,26.59726563,"def cyclic_shift_by_index(words: list) -> list:
    from collections import deque
    result = []
    for i, s in enumerate(words):
        if not s:
            result.append(s)
        else:
            d = deque(s)
            d.rotate(-i)
            result.append(''.join(d))
    return result",0.0008301,26.59726563,"['c', 'b', 'a']"
15,"
from typing import List

def best_consonant_word(words: List[str]) -> str:
""""""
Return the word from the list that contains the most unique consonants (case-insensitive).
If there is a tie in the count of unique consonants, choose the shortest word.
If there is still a tie, return the word that appears first in the list.
Return an empty string if the list is empty or no consonants are present.

best_consonant_word([""apple"", ""banana""]) == ""apple""
best_consonant_word([""cat"", ""dog""]) == ""cat""
best_consonant_word([""race"", ""car""]) == ""car""
best_consonant_word([""a"", ""e"", ""i""]) == """"
best_consonant_word([]) == """"
""""""
pass
","from typing import List

def best_consonant_word(words: List[str]) -> str:
    consonants = set('bcdfghjklmnpqrstvwxyzBCDFGHJKLMNPQRSTVWXYZ')
    best = """"
    best_count = 0
    for word in words:
        unique_consonants = len(set(c.lower() for c in word if c in consonants))
        if unique_consonants > best_count or (unique_consonants == best_count and (not best or len(word) < len(best))):
            best_count = unique_consonants
            best = word
    return best if best_count > 0 else """"",0.0008911,26.53574219,"from typing import List

def best_consonant_word(words: List[str]) -> str:
    consonants = set(""bcdfghjklmnpqrstvwxyz"")
    
    def get_score(word):
        return len(set(word.lower()) & consonants)

    candidates = [w for w in words if get_score(w) > 0]
    if not candidates:
        return """"

    return max(candidates, key=lambda w: (get_score(w), -len(w)))",0.0006658,26.53574219,"def best_consonant_word(words: list[str]) -> str:
    if not words:
        return """"
    consonants = ""bcdfghjklmnpqrstvwxyz""
    index_map = {ch: i for i, ch in enumerate(consonants)}
    best_word = """"
    best_count = 0
    best_len = 0
    best_index = -1
    for i, w in enumerate(words):
        mask = 0
        for ch in w:
            idx = index_map.get(ch.lower())
            if idx is not None:
                mask |= 1 << idx
        count = mask.bit_count() if hasattr(mask, ""bit_count"") else bin(mask).count(""1"")
        if count > best_count:
            best_count = count
            best_word = w
            best_len = len(w)
            best_index = i
        elif count == best_count and count > 0:
            lw = len(w)
            if lw < best_len:
                best_word = w
                best_len = lw
                best_index = i
            elif lw == best_len and i < best_index:
                best_word = w
                best_index = i
    return best_word if best_count > 0 else """"",0.0005223,26.53574219,"['c', 'b', 'a']"
16,"
def cyclic_group_shift(s: str, n: int) -> str:
""""""
Split the string s into groups of length n. For every group that has exactly n characters,
rotate its characters 1 position to the right (the last character becomes the first).
If the last group has fewer than n characters, leave it unchanged. Return the new string.

>>> cyclic_group_shift(""abcdef"", 2)
'badcfe'
>>> cyclic_group_shift(""abcdef"", 3)
'cabfde'
>>> cyclic_group_shift(""12345"", 2)
'21435'
>>> cyclic_group_shift(""coding"", 10)
'coding'
""""""
pass
","def cyclic_group_shift(s: str, n: int) -> str:
    result = []
    for i in range(0, len(s), n):
        group = s[i:i+n]
        if len(group) == n:
            result.append(group[-1] + group[:-1])
        else:
            result.append(group)
    return ''.join(result)",0.0003763,26.06621094,"def cyclic_group_shift(s: str, n: int) -> str:
    if n < 2:
        return s
    num_full_chars = (len(s) // n) * n
    return """".join(s[(i // n) * n + (i - 1) % n] if i < num_full_chars else s[i] for i in range(len(s)))",0.0003773,26.06621094,"def cyclic_group_shift(s: str, n: int) -> str:
    """"""
    Rotate each full group of length n by one to the right; last incomplete group unchanged.
    """"""
    if n <= 1 or not s:
        return s
    L = len(s)
    full = L // n
    last_start = full * n
    res = []
    for i in range(L):
        if i < last_start:
            if i % n == 0:
                res.append(s[i + n - 1])
            else:
                res.append(s[i - 1])
        else:
            res.append(s[i])
    return ''.join(res)
",0.0003627,26.06621094,"['c', 'a', 'b']"
17,"
def digit_product_transform(numbers: list) -> list:
""""""
Given a list of integers, return a new list where each element is the product
of the non-zero digits of the corresponding number in the input.

Rules:
1. If the input number is 0, the result should be 0.
2. Negative numbers should be treated as positive (ignore the sign).
3. Zeros within the number (e.g., 105) should be ignored in the product calculation.

Examples:
digit_product_transform([123, -405, 0, 101])
# Returns [6, 20, 0, 1]
# Explanation: 1*2*3=6; 4*5=20; 0 is 0; 1*1=1

digit_product_transform([5, -22, 100])
# Returns [5, 4, 1]
# Explanation: 5=5; 2*2=4; 1=1
""""""
result = []
for num in numbers:
if num == 0:
result.append(0)
continue

# Convert to string and ignore sign
s_num = str(abs(num))
product = 1
has_non_zero = False

for char in s_num:
digit = int(char)
if digit != 0:
product *= digit
has_non_zero = True

# If the number was something like 0 (already handled) or effectively 0 logic
# though input 0 is handled, this handles cases if any obscure logic slipped
if not has_non_zero:
result.append(0)
else:
result.append(product)

return result
","def digit_product_transform(numbers: list) -> list:
    result = []
    for num in numbers:
        if num == 0:
            result.append(0)
            continue
        s_num = str(abs(num))
        product = 1
        has_non_zero = False
        for char in s_num:
            digit = int(char)
            if digit != 0:
                product *= digit
                has_non_zero = True
        if not has_non_zero:
            result.append(0)
        else:
            result.append(product)
    return result",0.0004794,26.52617188,"import math

def digit_product_transform(numbers: list) -> list:
    return [math.prod(int(d) for d in str(abs(n)) if d != '0') if n != 0 else 0 for n in numbers]",0.0004883,26.52617188,"def digit_product_transform(numbers: list) -> list:
    result = []
    for num in numbers:
        if num == 0:
            result.append(0)
            continue
        n = abs(num)
        product = 1
        while n:
            d = n % 10
            if d != 0:
                product *= d
            n //= 10
        result.append(product)
    return result",0.0006871,26.52617188,"['a', 'b', 'c']"
18,"
def filter_by_consonant_count(strings: list[str], n: int) -> list[str]:
""""""
Given a list of strings and an integer n, return a new list containing only the strings
that have exactly n consonants.
Vowels are defined as 'a', 'e', 'i', 'o', 'u' (case-insensitive). All other alphabetic characters
are considered consonants. The output should preserve the original order of the strings.

>>> filter_by_consonant_count(['apple', 'banana', 'cat'], 3)
['apple', 'banana']
>>> filter_by_consonant_count(['hello', 'world'], 4)
['world']
>>> filter_by_consonant_count(['a', 'e', 'i'], 0)
['a', 'e', 'i']
>>> filter_by_consonant_count(['sky', 'py'], 3)
['sky']
""""""
","def filter_by_consonant_count(strings: list[str], n: int) -> list[str]:
    vowels = set('aeiouAEIOU')
    return [s for s in strings if sum(1 for c in s if c.isalpha() and c not in vowels) == n]",0.0008452,26.79042969,"def filter_by_consonant_count(strings: list[str], n: int) -> list[str]:
    result = []
    for s in strings:
        consonants_only = """".join(char for char in s if char.isalpha())
        for vowel in ""aeiouAEIOU"":
            consonants_only = consonants_only.replace(vowel, """")
        if len(consonants_only) == n:
            result.append(s)
    return result",0.0008351,26.79042969,"def filter_by_consonant_count(strings: list[str], n: int) -> list[str]:
    import re
    pattern = re.compile(r'[b-df-hj-np-tv-z]', re.IGNORECASE)
    return [s for s in strings if len(pattern.findall(s)) == n]
",0.0007253,26.79042969,"['c', 'b', 'a']"
19,"
def sum_mixed_parity_differences(numbers: list[int]) -> int:
""""""
Given a list of integers, calculate the sum of absolute differences between adjacent
elements, but ONLY include the difference if the two adjacent elements have
different parity (one is even and the other is odd).

If the list has fewer than 2 elements, return 0.

>>> sum_mixed_parity_differences([1, 2, 3, 4])
3
>>> sum_mixed_parity_differences([2, 4, 6, 8])
0
>>> sum_mixed_parity_differences([10, 5, 3, 8])
10
""""""
pass
","def sum_mixed_parity_differences(numbers: list[int]) -> int:
    if len(numbers) < 2:
        return 0
    total = 0
    for i in range(len(numbers) - 1):
        if numbers[i] % 2 != numbers[i+1] % 2:
            total += abs(numbers[i] - numbers[i+1])
    return total",0.000445,26.42910156,"def sum_mixed_parity_differences(numbers: list[int]) -> int:
    if len(numbers) < 2:
        return 0
    it = iter(numbers)
    last = next(it)
    res = 0
    for x in it:
        if (last + x) % 2:
            res += abs(last - x)
        last = x
    return res",0.0004132,26.42910156,"def sum_mixed_parity_differences(numbers: list[int]) -> int:
    if len(numbers) < 2:
        return 0
    return sum(abs(a - b) for a, b in zip(numbers, numbers[1:]) if (a ^ b) & 1)
",0.0004704,26.42910156,"['b', 'a', 'c']"
20,"
def binary_dominance_filter(numbers: list[int]) -> list[int]:
""""""
Given a list of non-negative integers, return a new list containing only
the numbers whose binary representation (without leading zeros)
contains strictly more ones than zeros.

Examples:
binary_dominance_filter([5, 7, 4]) == [5, 7] # 5 is '101' (2>1), 7 is '111' (3>0), 4 is '100' (1<2)
binary_dominance_filter([1, 2, 8]) == [1] # 1 is '1', 2 is '10', 8 is '1000'
binary_dominance_filter([0, 3, 15]) == [3, 15]
""""""
pass
","def binary_dominance_filter(numbers: list[int]) -> list[int]:
    result = []
    for n in numbers:
        if n == 0:
            continue
        binary = bin(n)[2:]
        ones = binary.count('1')
        zeros = binary.count('0')
        if ones > zeros:
            result.append(n)
    return result",0.0004393,26.48359375,"def binary_dominance_filter(numbers: list[int]) -> list[int]:
    res = []
    for n in numbers:
        if n > 0:
            diff = 0
            temp = n
            while temp:
                if temp & 1:
                    diff += 1
                else:
                    diff -= 1
                temp >>= 1
            if diff > 0:
                res.append(n)
    return res",0.0004177,26.48359375,"def binary_dominance_filter(numbers: list[int]) -> list[int]:
    result = []
    for n in numbers:
        ones = n.bit_count()
        length = n.bit_length()
        if 2 * ones > length:
            result.append(n)
    return result",0.0004251,26.48359375,"['b', 'c', 'a']"
